World_Bank_Name,Health_exp_pct_GDP_2016,Health_exp_public_pct_2016,Health_exp_out_of_pocket_pct_2016,Health_exp_per_capita_USD_2016,per_capita_exp_PPP_2016,External_health_exp_pct_2016,Physicians_per_1000_2009.18,Nurse_midwife_per_1000_2009.18,Specialist_surgical_per_1000_2008.18,Completeness_of_birth_reg_2009.18,Completeness_of_death_reg_2008.16,alpha_2,alpha_3,numeric,latitude,longitude
Panama,7.3,65.6,27.4,1040.7,1750.3,0.7,1.6,1.4,26.2,96,90,169,170,591,9,-80
Papua New Guinea,2,70,7.9,55.2,92.3,22.1,0.1,0.5,2.3,-99,-99,172,175,598,-6,147
Paraguay,8,51.6,37.9,327.2,767.8,0,1.4,1.2,20.5,69,81,182,180,600,-23,-58
Peru,5.1,64.1,28.3,316.4,681,0.3,1.3,1.4,42.9,98,69,170,172,604,-10,-76
Philippines,4.4,31.5,53.9,129.4,342.3,2.2,1.3,0.2,9.6,91.8,90,173,173,608,13,122
Poland,6.5,69.7,22.9,809,1784.4,0.2,2.4,5.7,67.9,100,100,175,176,616,52,20
Portugal,9.1,66.4,27.8,1800.9,2778.4,-99,3.3,6.4,86.1,100,100,180,179,620,39.5,-8
Puerto Rico,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,178,177,630,18.25,-66.5
Qatar,3.1,81.6,8.6,1827.1,3926.1,0,0,6.6,14.5,100,77,183,183,634,25.5,51.25
Romania,5,78.2,20.7,476.4,1152.2,0,2.3,6.1,60.5,-99,100,185,185,642,46,25
Russian Federation,5.3,57,40.5,469.1,1329.3,-99,4,8.6,63.1,100,100,187,186,643,60,100
Rwanda,6.8,33.9,6.4,48.1,130.4,50.6,0.1,0.8,0.8,56,-99,188,187,646,-2,30
Samoa,5.5,76.4,11.9,227.1,352.8,10.8,0.3,1.9,1.6,59,-99,239,240,882,-13.5833,-172.3333
San Marino,6.4,80.4,18.8,3012.8,3832,-99,6.1,8.8,112.9,100,-99,200,198,674,43.7667,12.4167
Sao Tome and Principe,6,39.9,14.4,105.1,196.9,44.6,0.3,2.3,-99,95,-99,205,203,678,1,7
Saudi Arabia,5.7,67.8,14.3,1147.3,3117.2,0,2.4,5.7,-99,-99,51,189,188,682,25,45
Senegal,5.5,34.6,51.8,52.6,141.7,6.2,0.1,0.3,1.1,77.4,-99,201,190,686,14,-14
Serbia,9.1,58,40.5,494.4,1322.6,0.1,3.1,6.1,86.7,99,90,186,201,688,44,21
Seychelles,3.9,96,2.1,596.9,1122.6,1.9,0.9,3.3,48.6,-99,100,191,209,690,-4.5833,55.6667
Sierra Leone,16.5,11.2,41.6,86.3,244,41,0,1,0.1,81,-99,199,196,694,8.5,-11.5
Singapore,4.5,54.5,31.2,2462.4,4083.8,0,2.3,7.2,31.5,-99,74,194,191,702,1.3667,103.8
Sint Maarten (Dutch part),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Slovak Republic,7.1,79.8,17.8,1178.7,2172.2,0,2.5,9.2,53.9,100,100,-99,-99,-99,-99,-99
Slovenia,8.5,72.3,12,1834.2,2772.2,-99,3,9.7,66.7,100,100,196,206,705,46,15
Solomon Islands,5.2,69.2,4.6,106.3,117.8,26.2,0.2,2.1,2.5,88,-99,190,195,90,-8,159
Somalia,-99,-99,-99,-99,-99,-99,0,0.1,0.2,-99,-99,202,199,706,10,49
South Africa,8.1,53.7,7.8,428.2,1071.3,1.9,0.9,3.5,11.4,89,91,242,242,710,-29,24
South Sudan,-99,-99,-99,-99,-99,-99,-99,-99,0.3,35,-99,204,202,728,8,30
Spain,9,71.2,23.8,2389.9,3259.8,-99,4.1,5.5,79.9,100,100,65,67,724,40,-4
Sri Lanka,3.9,43.1,50.1,153.1,491.5,1.1,1,2.1,2.8,-99,-99,127,128,144,7,81
St. Kitts and Nevis,5.7,43.2,51.5,930.8,1479.6,0,2.5,4,33.5,-99,79,-99,-99,-99,-99,-99
St. Lucia,5.3,42,48.7,489.8,677.4,3.7,0.1,1.6,23.6,92,85,-99,-99,-99,-99,-99
St. Martin (French part),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
St. Vincent and the Grenadines,3.6,76.8,20.5,250.2,409.1,0.6,0.7,2.6,23.6,-99,100,232,233,670,13.25,-61.2
