origin.name,origin.code,gender.name,gender.code,dest.name,dest.code,1960,1970,1980,1990,2000,origin.lat,origin.lon,dest.lat,dest.lon
Austria,AUT,Male,MAL,Senegal,SEN,3519,3366,3856,5513,5643,47.516231,14.550072,14.497401,-14.452362
Azerbaijan,AZE,Male,MAL,Bulgaria,BGR,4803,5281,5995,6761,5119,40.143105,47.576927,42.733883,25.48583
Azerbaijan,AZE,Male,MAL,Canada,CAN,4419,4387,4409,4700,5718,40.143105,47.576927,56.130366,-106.346771
Azerbaijan,AZE,Male,MAL,Georgia,GEO,3026,4175,5188,6410,5620,40.143105,47.576927,42.315407,43.356892
Azerbaijan,AZE,Male,MAL,Lebanon,LBN,4213,5509,5616,3999,3637,40.143105,47.576927,33.854721,35.862285
Azerbaijan,AZE,Male,MAL,Norway,NOR,3903,3854,3856,3437,3511,40.143105,47.576927,60.472024,8.468946
Azerbaijan,AZE,Male,MAL,Togo,TGO,3903,4998,5681,6761,7658,40.143105,47.576927,8.619543,0.824782
Bahrain,BHR,Male,MAL,Philippines,PHL,4856,3757,4135,5615,4824,25.930414,50.637772,12.879721,121.774017
Bangladesh,BGD,Male,MAL,Bulgaria,BGR,4273,4807,5549,6191,4394,23.684994,90.356331,42.733883,25.48583
Bangladesh,BGD,Male,MAL,Hungary,HUN,4242,5060,5355,5514,6113,23.684994,90.356331,47.162494,19.503304
Bangladesh,BGD,Male,MAL,Lebanon,LBN,3020,5281,5235,5503,7490,23.684994,90.356331,33.854721,35.862285
Bangladesh,BGD,Male,MAL,Senegal,SEN,3903,3366,3856,5513,6287,23.684994,90.356331,14.497401,-14.452362
Bangladesh,BGD,Male,MAL,Timor-Leste,TLS,4241,4998,5318,6394,7263,23.684994,90.356331,-8.874217,125.727539
Belgium,BEL,Male,MAL,Argentina,ARG,4616,3905,6198,5430,5714,50.503887,4.469936,-38.416097,-63.616672
Belgium,BEL,Male,MAL,Czech Republic,CZE,3903,4665,5318,5321,4729,50.503887,4.469936,49.817492,15.472962
Belgium,BEL,Male,MAL,United Kingdom,GBR,3744,3760,4325,5417,5354,50.503887,4.469936,55.378051,-3.435973
Belgium,BEL,Male,MAL,Zimbabwe,ZWE,4488,4740,5235,5701,6236,50.503887,4.469936,-19.015438,29.154857
Belize,BLZ,Male,MAL,Dominican Republic,DOM,4971,5029,5164,5081,4603,17.189877,-88.49765,18.735693,-70.162651
Belize,BLZ,Male,MAL,Mexico,MEX,3270,3586,3184,5122,5111,17.189877,-88.49765,23.634501,-102.552784
