origin.name,origin.code,gender.name,gender.code,dest.name,dest.code,1960,1970,1980,1990,2000,origin.lat,origin.lon,dest.lat,dest.lon
Azerbaijan,AZE,Total,TOT,Poland,POL,4963,5105,4945,4500,3844,40.143105,47.576927,51.919438,19.145136
Bahrain,BHR,Total,TOT,Australia,AUS,3020,4665,5319,4816,6598,25.930414,50.637772,-25.274398,133.775136
Bahrain,BHR,Total,TOT,Ethiopia,ETH,3519,3854,4439,4966,5643,25.930414,50.637772,9.145,40.489673
Bangladesh,BGD,Total,TOT,Zimbabwe,ZWE,3069,3993,4440,4840,5204,23.684994,90.356331,-19.015438,29.154857
Barbados,BRB,Total,TOT,Costa Rica,CRI,4241,5281,3066,4966,7263,13.193887,-59.543198,9.748917,-83.753428
Barbados,BRB,Total,TOT,Dominica,DMA,3560,4133,5029,5840,7978,13.193887,-59.543198,15.414999,-61.370976
Barbados,BRB,Total,TOT,Dominican Republic,DOM,4011,4184,4270,4251,4193,13.193887,-59.543198,18.735693,-70.162651
Belarus,BLR,Total,TOT,Albania,ALB,3903,4289,5318,6394,7658,53.709807,27.953389,41.153332,20.168331
Belarus,BLR,Total,TOT,Bermuda,BMU,3020,4289,3856,5513,6799,53.709807,27.953389,32.321384,-64.75737
Belarus,BLR,Total,TOT,Canada,CAN,3780,3742,3818,4213,5268,53.709807,27.953389,56.130366,-106.346771
Belarus,BLR,Total,TOT,Denmark,DNK,3020,5194,4988,5021,3059,53.709807,27.953389,56.26392,9.501785
Belarus,BLR,Total,TOT,Georgia,GEO,3825,4633,5079,6995,6315,53.709807,27.953389,42.315407,43.356892
Belarus,BLR,Total,TOT,Lithuania,LTU,3124,4427,5691,6700,6078,53.709807,27.953389,55.169438,23.881275
Belgium,BEL,Total,TOT,Bosnia and Herzegovina,BIH,3021,3420,5438,3924,3634,50.503887,4.469936,43.915886,17.679076
Belgium,BEL,Total,TOT,Hungary,HUN,4445,3883,3944,3825,4090,50.503887,4.469936,47.162494,19.503304
Belgium,BEL,Total,TOT,Israel,ISR,3317,4086,5125,3674,6804,50.503887,4.469936,31.046051,34.851612
Belgium,BEL,Total,TOT,Romania,ROU,4325,4387,4107,3544,3148,50.503887,4.469936,45.943161,24.96676
Belgium,BEL,Total,TOT,Switzerland,CHE,3024,3689,4910,5723,7327,50.503887,4.469936,46.818188,8.227512
Belgium,BEL,Total,TOT,United States,USA,3625,3812,3996,4398,5028,50.503887,4.469936,37.09024,-95.712891
Belize,BLZ,Total,TOT,Colombia,COL,3519,3854,3856,3437,6287,17.189877,-88.49765,4.570868,-74.297333
Benin,BEN,Total,TOT,Cameroon,CMR,4006,4692,4756,5743,5928,9.30769,2.315834,7.369722,12.354722
Benin,BEN,Total,TOT,Ethiopia,ETH,3876,4150,4886,5627,6584,9.30769,2.315834,9.145,40.489673
Benin,BEN,Total,TOT,Togo,TGO,3012,4179,4909,5640,6524,9.30769,2.315834,8.619543,0.824782
Bermuda,BMU,Total,TOT,Australia,AUS,3519,4372,3236,3791,4530,32.321384,-64.75737,-25.274398,133.775136
Bolivia,BOL,Total,TOT,Peru,PER,3111,3187,3185,3794,3605,-16.290154,-63.588653,-9.189967,-75.015152
Bolivia,BOL,Total,TOT,Switzerland,CHE,3865,4773,3925,3158,7000,-16.290154,-63.588653,46.818188,8.227512
Bosnia and Herzegovina,BIH,Total,TOT,Brazil,BRA,4971,4740,4870,4181,3229,43.915886,17.679076,-14.235004,-51.92528
Bosnia and Herzegovina,BIH,Total,TOT,Colombia,COL,4241,4289,4439,3437,5643,43.915886,17.679076,4.570868,-74.297333
Bosnia and Herzegovina,BIH,Total,TOT,New Caledonia,NCL,3519,4289,3856,5513,7658,43.915886,17.679076,-20.904305,165.618042
Bosnia and Herzegovina,BIH,Total,TOT,Panama,PAN,4241,3854,3066,4250,5643,43.915886,17.679076,8.537981,-80.782127
Bosnia and Herzegovina,BIH,Total,TOT,Romania,ROU,4215,4270,3971,3419,6811,43.915886,17.679076,45.943161,24.96676
Bosnia and Herzegovina,BIH,Total,TOT,Sierra Leone,SLE,3020,4289,5318,5969,3868,43.915886,17.679076,8.460555,-11.779889
Botswana,BWA,Total,TOT,Malawi,MWI,3753,4086,5928,6629,7436,-22.328474,24.684866,-13.254308,34.301525
Botswana,BWA,Total,TOT,United States,USA,3021,5253,6048,4149,3051,-22.328474,24.684866,37.09024,-95.712891
Brazil,BRA,Total,TOT,Argentina,ARG,3493,3628,4091,3930,4549,-14.235004,-51.92528,-38.416097,-63.616672
Brazil,BRA,Total,TOT,Bulgaria,BGR,4241,4665,5318,5969,4298,-14.235004,-51.92528,42.733883,25.48583
Brazil,BRA,Total,TOT,Ethiopia,ETH,4241,4665,5318,6394,7263,-14.235004,-51.92528,9.145,40.489673
Brazil,BRA,Total,TOT,Monaco,MCO,3020,4665,3150,4108,5278,-14.235004,-51.92528,43.750298,7.412841
Brazil,BRA,Total,TOT,Tanzania,TZA,4538,4998,3066,3437,6799,-14.235004,-51.92528,-6.369028,34.888822
Brazil,BRA,Total,TOT,Togo,TGO,3174,4359,5117,5862,6790,-14.235004,-51.92528,8.619543,0.824782
Bulgaria,BGR,Total,TOT,Brazil,BRA,4520,5107,5367,4285,3642,42.733883,25.48583,-14.235004,-51.92528
Bulgaria,BGR,Total,TOT,Cape Verde,CPV,3519,4289,4914,5969,7658,42.733883,25.48583,16.002082,-24.013197
Burkina Faso,BFA,Total,TOT,Ethiopia,ETH,4039,4340,5077,5878,6843,12.238333,-1.561593,9.145,40.489673
Burkina Faso,BFA,Total,TOT,Senegal,SEN,4378,3755,4471,6917,7779,12.238333,-1.561593,14.497401,-14.452362
Burkina Faso,BFA,Total,TOT,Togo,TGO,3349,4533,5324,6116,7053,12.238333,-1.561593,8.619543,0.824782
Burkina Faso,BFA,Total,TOT,Uganda,UGA,3020,3366,3856,4250,5643,12.238333,-1.561593,1.373333,32.290275
Burundi,BDI,Total,TOT,Ethiopia,ETH,3548,3771,4482,5162,6063,-3.373056,29.918886,9.145,40.489673
Cambodia,KHM,Total,TOT,France,FRA,3269,3623,4048,5454,7086,12.565679,104.990963,46.227638,2.213749
Cambodia,KHM,Total,TOT,Hungary,HUN,3903,4665,4914,4966,5643,12.565679,104.990963,47.162494,19.503304
Cambodia,KHM,Total,TOT,Italy,ITA,3501,4542,5718,4666,3777,12.565679,104.990963,41.87194,12.56738
Cameroon,CMR,Total,TOT,Ethiopia,ETH,4743,5114,5948,6852,7926,7.369722,12.354722,9.145,40.489673
Canada,CAN,Total,TOT,Cape Verde,CPV,3215,3757,4587,4903,6113,56.130366,-106.346771,16.002082,-24.013197
Canada,CAN,Total,TOT,Cuba,CUB,5001,5253,4740,4316,6702,56.130366,-106.346771,21.521757,-77.781167
Canada,CAN,Total,TOT,Mexico,MEX,3778,3189,3373,3632,6285,56.130366,-106.346771,23.634501,-102.552784
Canada,CAN,Total,TOT,Peru,PER,3745,4827,5967,5517,5577,56.130366,-106.346771,-9.189967,-75.015152
Canada,CAN,Total,TOT,Togo,TGO,3322,4508,5289,6079,7015,56.130366,-106.346771,8.619543,0.824782
Canada,CAN,Total,TOT,United Kingdom,GBR,4103,4637,5062,5705,7094,56.130366,-106.346771,55.378051,-3.435973
Canada,CAN,Total,TOT,Uruguay,URY,4366,4340,4113,4630,4616,56.130366,-106.346771,-32.522779,-55.765835
Canada,CAN,Total,TOT,Zambia,ZMB,3622,3479,5730,3364,3438,56.130366,-106.346771,-13.133897,27.849332
Cape Verde,CPV,Total,TOT,Zimbabwe,ZWE,3990,5011,5540,6043,6601,16.002082,-24.013197,-19.015438,29.154857
Central African Republic,CAF,Total,TOT,Burundi,BDI,4803,4665,4914,4903,4769,6.611111,20.939444,-3.373056,29.918886
Central African Republic,CAF,Total,TOT,Chad,TCD,3892,4516,5440,6420,7713,6.611111,20.939444,15.454166,18.732207
Central African Republic,CAF,Total,TOT,Mali,MLI,3020,3366,3856,4250,3707,6.611111,20.939444,17.570692,-3.996166
Central African Republic,CAF,Total,TOT,Uganda,UGA,3943,4340,4695,5321,7379,6.611111,20.939444,1.373333,32.290275
Chad,TCD,Total,TOT,Kuwait,KWT,3903,4969,4502,4690,5127,15.454166,18.732207,29.31166,47.481766
Chile,CHL,Total,TOT,Aruba,ABW,3903,3854,4439,3790,7219,-35.675147,-71.542969,12.52111,-69.968338
Chile,CHL,Total,TOT,Bolivia,BOL,3458,4436,5506,4495,5098,-35.675147,-71.542969,-16.290154,-63.588653
Chile,CHL,Total,TOT,Peru,PER,4426,4617,4846,4924,4890,-35.675147,-71.542969,-9.189967,-75.015152
Chile,CHL,Total,TOT,Senegal,SEN,4241,3366,4439,6394,7263,-35.675147,-71.542969,14.497401,-14.452362
Chile,CHL,Total,TOT,Tanzania,TZA,4803,5281,3066,3437,7263,-35.675147,-71.542969,-6.369028,34.888822
Chile,CHL,Total,TOT,Togo,TGO,3021,4223,4955,5660,6561,-35.675147,-71.542969,8.619543,0.824782
China,CHN,Total,TOT,Cambodia,KHM,4590,4635,5996,6490,5697,35.86166,104.195397,12.565679,104.990963
China,CHN,Total,TOT,Chad,TCD,3560,4133,4988,5922,7179,35.86166,104.195397,15.454166,18.732207
China,CHN,Total,TOT,French Polynesia,PYF,4844,3809,4914,3732,4122,35.86166,104.195397,-17.679742,-149.406843
China,CHN,Total,TOT,Marshall Islands,MHL,3519,4289,5318,6761,4859,35.86166,104.195397,7.131474,171.184478
China,CHN,Total,TOT,Netherlands Antilles,ANT,3095,3135,3237,5832,7851,35.86166,104.195397,12.226079,-69.060087
China,CHN,Total,TOT,New Zealand,NZL,3091,3408,4083,5182,4712,35.86166,104.195397,-40.900557,174.885971
China,CHN,Total,TOT,Sri Lanka,LKA,3022,5193,5165,4695,4812,35.86166,104.195397,7.873054,80.771797
Colombia,COL,Total,TOT,Guatemala,GTM,3436,3483,3960,4790,6888,4.570868,-74.297333,15.783471,-90.230759
Colombia,COL,Total,TOT,Indonesia,IDN,4803,3854,4439,5969,6287,4.570868,-74.297333,-0.789275,113.921327
Colombia,COL,Total,TOT,Suriname,SUR,4803,4289,3856,4966,6799,4.570868,-74.297333,3.919305,-56.027783
Colombia,COL,Total,TOT,Switzerland,CHE,3889,4868,3957,3188,4075,4.570868,-74.297333,46.818188,8.227512
Colombia,COL,Total,TOT,Togo,TGO,3519,4998,5681,6394,7658,4.570868,-74.297333,8.619543,0.824782
Colombia,COL,Total,TOT,United Kingdom,GBR,4778,3855,3522,4629,7988,4.570868,-74.297333,55.378051,-3.435973
Comoros,COM,Total,TOT,Zimbabwe,ZWE,3520,4445,4915,5370,5773,-11.875001,43.872219,-19.015438,29.154857
Cook Islands,COK,Total,TOT,American Samoa,ASM,4538,4665,5681,5743,7584,-21.236736,-159.777671,-14.270972,-170.132217
Costa Rica,CRI,Total,TOT,El Salvador,SLV,4890,4247,5574,6741,6612,9.748917,-83.753428,13.794185,-88.89653
Costa Rica,CRI,Total,TOT,France,FRA,3287,3620,3413,3326,7116,9.748917,-83.753428,46.227638,2.213749
Costa Rica,CRI,Total,TOT,Guatemala,GTM,4761,5223,5510,6112,6906,9.748917,-83.753428,15.783471,-90.230759
Costa Rica,CRI,Total,TOT,Panama,PAN,3835,3751,3280,4719,5451,9.748917,-83.753428,8.537981,-80.782127
Croatia,HRV,Total,TOT,Colombia,COL,3904,4290,4440,4395,5854,45.1,15.2,4.570868,-74.297333
Croatia,HRV,Total,TOT,Luxembourg,LUX,4538,5281,3982,5562,3707,45.1,15.2,49.815273,6.129583
Croatia,HRV,Total,TOT,Malawi,MWI,3020,3366,5681,6394,7263,45.1,15.2,-13.254308,34.301525
Croatia,HRV,Total,TOT,Panama,PAN,4897,4514,4219,5257,5497,45.1,15.2,8.537981,-80.782127
Croatia,HRV,Total,TOT,Tunisia,TUN,3020,4548,3066,5513,6287,45.1,15.2,33.886917,9.537499
Croatia,HRV,Total,TOT,Uruguay,URY,4737,4760,4558,3745,5119,45.1,15.2,-32.522779,-55.765835
Cuba,CUB,Total,TOT,Bulgaria,BGR,4011,4514,5235,5840,4015,21.521757,-77.781167,42.733883,25.48583
Cuba,CUB,Total,TOT,Ethiopia,ETH,4538,4998,5681,6394,7658,21.521757,-77.781167,9.145,40.489673
Cuba,CUB,Total,TOT,Hungary,HUN,4804,3455,3743,3745,4090,21.521757,-77.781167,47.162494,19.503304
Cuba,CUB,Total,TOT,Indonesia,IDN,4241,3854,4439,5513,5643,21.521757,-77.781167,-0.789275,113.921327
Cuba,CUB,Total,TOT,United States,USA,4674,3961,5245,6393,7637,21.521757,-77.781167,37.09024,-95.712891
Cyprus,CYP,Total,TOT,Bulgaria,BGR,4488,5060,5808,6510,4741,35.126413,33.429859,42.733883,25.48583
Cyprus,CYP,Total,TOT,Cambodia,KHM,3579,3540,4914,5081,4090,35.126413,33.429859,12.565679,104.990963
Cyprus,CYP,Total,TOT,Cameroon,CMR,3519,4289,4439,5969,6287,35.126413,33.429859,7.369722,12.354722
Cyprus,CYP,Total,TOT,Finland,FIN,4538,3112,5355,4709,7304,35.126413,33.429859,61.92411,25.748151
Cyprus,CYP,Total,TOT,Monaco,MCO,4538,4665,4790,6013,7418,35.126413,33.429859,43.750298,7.412841
Cyprus,CYP,Total,TOT,Tanzania,TZA,3020,3366,5318,5969,3868,35.126413,33.429859,-6.369028,34.888822
Czech Republic,CZE,Total,TOT,Cameroon,CMR,3713,4372,4384,6105,6391,49.817492,15.472962,7.369722,12.354722
Czech Republic,CZE,Total,TOT,Chad,TCD,3519,3854,4914,5969,7263,49.817492,15.472962,15.454166,18.732207
Czech Republic,CZE,Total,TOT,Denmark,DNK,5020,3307,4524,5679,7248,49.817492,15.472962,56.26392,9.501785
Czech Republic,CZE,Total,TOT,Germany,DEU,4354,4929,5505,4059,4882,49.817492,15.472962,51.165691,10.451526
Czech Republic,CZE,Total,TOT,New Zealand,NZL,3225,3982,4330,5264,6646,49.817492,15.472962,-40.900557,174.885971
Czech Republic,CZE,Total,TOT,Slovenia,SVN,3215,3620,5682,4217,5349,49.817492,15.472962,46.151241,14.995463
Czech Republic,CZE,Total,TOT,Zambia,ZMB,4241,3854,4587,6761,7263,49.817492,15.472962,-13.133897,27.849332
Denmark,DNK,Total,TOT,Australia,AUS,3687,4399,5560,6699,7636,56.26392,9.501785,-25.274398,133.775136
Denmark,DNK,Total,TOT,Bulgaria,BGR,3903,4289,4914,5513,3869,56.26392,9.501785,42.733883,25.48583
Denmark,DNK,Total,TOT,Finland,FIN,3222,3469,4291,5531,7205,56.26392,9.501785,61.92411,25.748151
Denmark,DNK,Total,TOT,Indonesia,IDN,4039,3367,3925,4903,5204,56.26392,9.501785,-0.789275,113.921327
Denmark,DNK,Total,TOT,Liberia,LBR,3170,4289,4439,4966,5643,56.26392,9.501785,6.428055,-9.429499
Denmark,DNK,Total,TOT,United States,USA,4770,4762,4225,4371,4206,56.26392,9.501785,37.09024,-95.712891
Denmark,DNK,Total,TOT,Zambia,ZMB,4241,3854,4695,6761,7263,56.26392,9.501785,-13.133897,27.849332
Dominica,DMA,Total,TOT,Barbados,BRB,3450,3982,5054,4785,5929,15.414999,-61.370976,13.193887,-59.543198
Dominica,DMA,Total,TOT,Dominican Republic,DOM,3753,3899,3982,3948,3869,15.414999,-61.370976,18.735693,-70.162651
Dominican Republic,DOM,Total,TOT,France,FRA,3129,3483,3169,3094,6861,18.735693,-70.162651,46.227638,2.213749
Dominican Republic,DOM,Total,TOT,Guatemala,GTM,4039,3238,4790,4026,6702,18.735693,-70.162651,15.783471,-90.230759
Dominican Republic,DOM,Total,TOT,Suriname,SUR,3903,3366,3066,3437,5643,18.735693,-70.162651,3.919305,-56.027783
Ecuador,ECU,Total,TOT,Cameroon,CMR,4538,5281,5681,3437,3868,-1.831239,-78.183406,7.369722,12.354722
Ecuador,ECU,Total,TOT,El Salvador,SLV,3865,4414,5682,6830,7738,-1.831239,-78.183406,13.794185,-88.89653
Ecuador,ECU,Total,TOT,Guyana,GUY,4488,3620,3856,4250,7658,-1.831239,-78.183406,4.860416,-58.93018
Ecuador,ECU,Total,TOT,Netherlands Antilles,ANT,4803,4998,5318,3326,4769,-1.831239,-78.183406,12.226079,-69.060087
Ecuador,ECU,Total,TOT,Togo,TGO,3903,4998,5995,6761,7658,-1.831239,-78.183406,8.619543,0.824782
El Salvador,SLV,Total,TOT,Belgium,BEL,4241,3620,5276,3873,5349,13.794185,-88.89653,50.503887,4.469936
El Salvador,SLV,Total,TOT,Costa Rica,CRI,4961,4849,4610,5682,7554,13.794185,-88.89653,9.748917,-83.753428
El Salvador,SLV,Total,TOT,Cuba,CUB,4538,4665,3856,3437,3868,13.794185,-88.89653,21.521757,-77.781167
El Salvador,SLV,Total,TOT,Denmark,DNK,4241,4998,5681,3093,5928,13.794185,-88.89653,56.26392,9.501785
El Salvador,SLV,Total,TOT,Germany,DEU,4366,4807,4440,4396,5899,13.794185,-88.89653,51.165691,10.451526
El Salvador,SLV,Total,TOT,Jamaica,JAM,3519,4666,3787,3438,6799,13.794185,-88.89653,18.109581,-77.297508
Equatorial Guinea,GNQ,Total,TOT,Burundi,BDI,4538,4289,4439,4551,4402,1.650801,10.267895,-3.373056,29.918886
Equatorial Guinea,GNQ,Total,TOT,Ethiopia,ETH,3957,4240,4972,5734,6703,1.650801,10.267895,9.145,40.489673
Equatorial Guinea,GNQ,Total,TOT,Togo,TGO,3020,4289,4914,5969,6799,1.650801,10.267895,8.619543,0.824782
Equatorial Guinea,GNQ,Total,TOT,Uganda,UGA,3713,4086,4440,4967,7035,1.650801,10.267895,1.373333,32.290275
Eritrea,ERI,Total,TOT,Italy,ITA,3831,5253,5583,6773,7010,15.179384,39.782334,41.87194,12.56738
Eritrea,ERI,Total,TOT,Zimbabwe,ZWE,3480,4414,4870,5321,5706,15.179384,39.782334,-19.015438,29.154857
Estonia,EST,Total,TOT,Australia,AUS,4158,5221,4877,3677,3022,58.595272,25.013607,-25.274398,133.775136
Estonia,EST,Total,TOT,Bosnia and Herzegovina,BIH,3020,3366,5318,3606,3229,58.595272,25.013607,43.915886,17.679076
Estonia,EST,Total,TOT,Bulgaria,BGR,4241,4998,5681,6394,4603,58.595272,25.013607,42.733883,25.48583
Estonia,EST,Total,TOT,Canada,CAN,4605,4643,4800,5387,6571,58.595272,25.013607,56.130366,-106.346771
Estonia,EST,Total,TOT,Germany,DEU,3993,4494,5024,4171,5110,58.595272,25.013607,51.165691,10.451526
Estonia,EST,Total,TOT,Latvia,LVA,4403,4691,4917,5199,4872,58.595272,25.013607,56.879635,24.603189
Estonia,EST,Total,TOT,Mexico,MEX,3480,3899,4439,3438,6799,58.595272,25.013607,23.634501,-102.552784
Estonia,EST,Total,TOT,Norway,NOR,3943,4484,5029,5461,4229,58.595272,25.013607,60.472024,8.468946
Estonia,EST,Total,TOT,Zimbabwe,ZWE,3020,3854,4439,4250,4858,58.595272,25.013607,-19.015438,29.154857
Finland,FIN,Total,TOT,Australia,AUS,3982,4615,6055,6675,7331,61.92411,25.748151,-25.274398,133.775136
Finland,FIN,Total,TOT,Bulgaria,BGR,3903,4665,5318,5969,4089,61.92411,25.748151,42.733883,25.48583
Finland,FIN,Total,TOT,Cape Verde,CPV,3519,4289,5318,6394,7658,61.92411,25.748151,16.002082,-24.013197
Finland,FIN,Total,TOT,Czech Republic,CZE,3903,4665,5681,5321,4240,61.92411,25.748151,49.817492,15.472962
Finland,FIN,Total,TOT,Israel,ISR,3903,4665,5681,4181,7418,61.92411,25.748151,31.046051,34.851612
France,FRA,Total,TOT,Bulgaria,BGR,4304,4844,5579,6238,4443,46.227638,2.213749,42.733883,25.48583
France,FRA,Total,TOT,Cameroon,CMR,4314,5044,5113,6978,7302,46.227638,2.213749,7.369722,12.354722
France,FRA,Total,TOT,Comoros,COM,3069,5509,3858,5434,6130,46.227638,2.213749,-11.875001,43.872219
France,FRA,Total,TOT,Indonesia,IDN,4897,4258,4915,6105,6561,46.227638,2.213749,-0.789275,113.921327
France,FRA,Total,TOT,Malta,MLT,4538,4041,3495,3948,6442,46.227638,2.213749,35.937496,14.375416
France,FRA,Total,TOT,Mexico,MEX,3133,3075,4301,4447,6160,46.227638,2.213749,23.634501,-102.552784
France,FRA,Total,TOT,Monaco,MCO,4701,5159,5521,6272,6864,46.227638,2.213749,43.750298,7.412841
France,FRA,Total,TOT,Panama,PAN,3044,3199,3184,3536,4212,46.227638,2.213749,8.537981,-80.782127
France,FRA,Total,TOT,Poland,POL,4123,4190,4251,4204,4596,46.227638,2.213749,51.919438,19.145136
France,FRA,Total,TOT,Switzerland,CHE,3122,4158,4755,5330,6587,46.227638,2.213749,46.818188,8.227512
French Guiana,GUF,Total,TOT,Uruguay,URY,4538,4665,4439,4966,7263,3.933889,-53.125782,-32.522779,-55.765835
Gabon,GAB,Total,TOT,Ethiopia,ETH,4112,4414,5164,5970,6942,-0.803689,11.609444,9.145,40.489673
Gabon,GAB,Total,TOT,Mali,MLI,4145,4514,5125,5660,5303,-0.803689,11.609444,17.570692,-3.996166
Georgia,GEO,Total,TOT,Bulgaria,BGR,4462,4999,5743,6438,4676,42.315407,43.356892,42.733883,25.48583
Georgia,GEO,Total,TOT,Chad,TCD,3376,3947,4830,5701,6942,42.315407,43.356892,15.454166,18.732207
Georgia,GEO,Total,TOT,Czech Republic,CZE,3682,4258,5164,4738,4521,42.315407,43.356892,49.817492,15.472962
Georgia,GEO,Total,TOT,Ethiopia,ETH,4538,4665,5681,6394,7658,42.315407,43.356892,9.145,40.489673
