origin.name,origin.code,gender.name,gender.code,dest.name,dest.code,1960,1970,1980,1990,2000,origin.lat,origin.lon,dest.lat,dest.lon
Barbados,BRB,Female,FEM,Grenada,GRD,4039,3808,3648,4630,7584,13.193887,-59.543198,12.262776,-61.604171
Barbados,BRB,Female,FEM,Ireland,IRL,3020,4289,5995,5969,7658,13.193887,-59.543198,53.41291,-8.24389
Barbados,BRB,Female,FEM,Netherlands Antilles,ANT,4718,5060,5616,7060,4267,13.193887,-59.543198,12.226079,-69.060087
Belarus,BLR,Female,FEM,Albania,ALB,3020,3366,4439,4966,6287,53.709807,27.953389,41.153332,20.168331
Belarus,BLR,Female,FEM,Bulgaria,BGR,4591,5173,5947,6663,4897,53.709807,27.953389,42.733883,25.48583
Belarus,BLR,Female,FEM,Chile,CHL,4241,3366,3066,4250,3868,53.709807,27.953389,-35.675147,-71.542969
Belarus,BLR,Female,FEM,Kazakhstan,KAZ,3405,5218,5688,6430,6487,53.709807,27.953389,48.019573,66.923684
Belgium,BEL,Female,FEM,Argentina,ARG,4039,3621,5869,5358,6355,50.503887,4.469936,-38.416097,-63.616672
Belgium,BEL,Female,FEM,Ethiopia,ETH,4015,4389,5286,6255,7243,50.503887,4.469936,9.145,40.489673
Belgium,BEL,Female,FEM,Malawi,MWI,3020,3366,5995,6761,7658,50.503887,4.469936,-13.254308,34.301525
Belgium,BEL,Female,FEM,Zimbabwe,ZWE,3713,5509,6126,6697,7304,50.503887,4.469936,-19.015438,29.154857
Belize,BLZ,Female,FEM,Cuba,CUB,4538,4665,3856,3437,3868,17.189877,-88.49765,21.521757,-77.781167
Benin,BEN,Female,FEM,Belgium,BEL,3519,3854,4870,4251,5644,9.30769,2.315834,50.503887,4.469936
Bhutan,BTN,Female,FEM,Bulgaria,BGR,4241,4998,5681,6394,4603,27.514162,90.433601,42.733883,25.48583
Bolivia,BOL,Female,FEM,Austria,AUT,4241,3366,5995,4181,6236,-16.290154,-63.588653,47.516231,14.550072
Bolivia,BOL,Female,FEM,Brazil,BRA,3143,3910,4820,5865,7715,-16.290154,-63.588653,-14.235004,-51.92528
Bolivia,BOL,Female,FEM,Germany,DEU,4775,4445,4915,5591,6801,-16.290154,-63.588653,51.165691,10.451526
Bolivia,BOL,Female,FEM,Suriname,SUR,4803,4289,3856,5513,7263,-16.290154,-63.588653,3.919305,-56.027783
Bosnia and Herzegovina,BIH,Female,FEM,Austria,AUT,4522,3968,6202,5242,7212,43.915886,17.679076,47.516231,14.550072
Bosnia and Herzegovina,BIH,Female,FEM,Bulgaria,BGR,3903,4665,5318,5969,4089,43.915886,17.679076,42.733883,25.48583
Bosnia and Herzegovina,BIH,Female,FEM,Chile,CHL,4803,4289,3856,3437,5643,43.915886,17.679076,-35.675147,-71.542969
Bosnia and Herzegovina,BIH,Female,FEM,Guinea,GIN,3020,4289,5995,3437,4858,43.915886,17.679076,9.945587,-9.696645
Bosnia and Herzegovina,BIH,Female,FEM,Hungary,HUN,3453,4818,5193,5428,6059,43.915886,17.679076,47.162494,19.503304
Bosnia and Herzegovina,BIH,Female,FEM,Mexico,MEX,4039,4707,4914,6394,7263,43.915886,17.679076,23.634501,-102.552784
Bosnia and Herzegovina,BIH,Female,FEM,Senegal,SEN,3903,3366,3856,6761,7658,43.915886,17.679076,14.497401,-14.452362
Bosnia and Herzegovina,BIH,Female,FEM,Zimbabwe,ZWE,3020,4665,5318,5513,6287,43.915886,17.679076,-19.015438,29.154857
Botswana,BWA,Female,FEM,Canada,CAN,4803,3993,6232,4709,7465,-22.328474,24.684866,56.130366,-106.346771
Botswana,BWA,Female,FEM,Sudan,SDN,3020,3366,4439,5513,7263,-22.328474,24.684866,12.862807,30.217636
Brazil,BRA,Female,FEM,France,FRA,3240,3626,4062,6167,7250,-14.235004,-51.92528,46.227638,2.213749
Brazil,BRA,Female,FEM,Guatemala,GTM,3263,4548,4219,4251,7304,-14.235004,-51.92528,15.783471,-90.230759
Brazil,BRA,Female,FEM,Indonesia,IDN,3974,3367,3648,4316,4603,-14.235004,-51.92528,-0.789275,113.921327
Bulgaria,BGR,Female,FEM,Albania,ALB,3519,3854,4914,5513,6799,42.733883,25.48583,41.153332,20.168331
Bulgaria,BGR,Female,FEM,Bosnia and Herzegovina,BIH,3560,3993,6176,4343,4082,42.733883,25.48583,43.915886,17.679076
Burkina Faso,BFA,Female,FEM,Guinea,GIN,3074,4370,6107,4134,6529,12.238333,-1.561593,9.945587,-9.696645
Burkina Faso,BFA,Female,FEM,Sudan,SDN,3118,3475,4587,6105,7584,12.238333,-1.561593,12.862807,30.217636
Cambodia,KHM,Female,FEM,Indonesia,IDN,4040,3414,3711,4372,4660,12.565679,104.990963,-0.789275,113.921327
Cambodia,KHM,Female,FEM,United States,USA,3521,3459,6158,5863,7072,12.565679,104.990963,37.09024,-95.712891
Cameroon,CMR,Female,FEM,Burundi,BDI,3519,3366,3066,3606,3511,7.369722,12.354722,-3.373056,29.918886
Canada,CAN,Female,FEM,Bosnia and Herzegovina,BIH,3560,3993,6202,4372,4109,56.130366,-106.346771,43.915886,17.679076
Canada,CAN,Female,FEM,Brazil,BRA,3264,3980,4644,3919,5819,56.130366,-106.346771,-14.235004,-51.92528
Canada,CAN,Female,FEM,Croatia,HRV,3264,3708,5890,3510,3148,56.130366,-106.346771,45.1,15.2
Canada,CAN,Female,FEM,Hungary,HUN,4616,3476,3816,3852,4253,56.130366,-106.346771,47.162494,19.503304
Canada,CAN,Female,FEM,Indonesia,IDN,4488,3855,4219,5021,5349,56.130366,-106.346771,-0.789275,113.921327
Canada,CAN,Female,FEM,Liberia,LBR,3263,4807,3332,3948,4298,56.130366,-106.346771,6.428055,-9.429499
Canada,CAN,Female,FEM,Martinique,MTQ,4803,3173,3150,5660,7304,56.130366,-106.346771,14.641528,-61.024174
Canada,CAN,Female,FEM,Mauritius,MUS,3170,3757,5475,5257,5423,56.130366,-106.346771,-20.348404,57.552152
Canada,CAN,Female,FEM,Suriname,SUR,4241,3854,3066,4966,6287,56.130366,-106.346771,3.919305,-56.027783
Canada,CAN,Female,FEM,United States,USA,3784,4248,4804,5128,5844,56.130366,-106.346771,37.09024,-95.712891
Cape Verde,CPV,Female,FEM,Cameroon,CMR,3336,3967,3978,5969,6287,16.002082,-24.013197,7.369722,12.354722
Cape Verde,CPV,Female,FEM,Ethiopia,ETH,4112,4484,5387,6353,7340,16.002082,-24.013197,9.145,40.489673
Cayman Islands,CYM,Female,FEM,Dominican Republic,DOM,4241,4998,5318,5969,6799,19.513469,-80.566956,18.735693,-70.162651
Cayman Islands,CYM,Female,FEM,Netherlands Antilles,ANT,3519,3366,3856,4966,6287,19.513469,-80.566956,12.226079,-69.060087
Central African Republic,CAF,Female,FEM,Cameroon,CMR,3707,4376,4423,4975,5075,6.611111,20.939444,7.369722,12.354722
Central African Republic,CAF,Female,FEM,Zimbabwe,ZWE,3020,4665,4914,5513,6287,6.611111,20.939444,-19.015438,29.154857
Chile,CHL,Female,FEM,Brazil,BRA,4256,5324,5669,6848,6754,-35.675147,-71.542969,-14.235004,-51.92528
Chile,CHL,Female,FEM,Colombia,COL,3109,4383,5469,6714,7310,-35.675147,-71.542969,4.570868,-74.297333
Chile,CHL,Female,FEM,Hungary,HUN,3519,3707,4113,4181,4683,-35.675147,-71.542969,47.162494,19.503304
Chile,CHL,Female,FEM,Netherlands Antilles,ANT,4803,4998,5681,4251,4859,-35.675147,-71.542969,12.226079,-69.060087
Chile,CHL,Female,FEM,Peru,PER,3228,3412,3563,3478,3354,-35.675147,-71.542969,-9.189967,-75.015152
China,CHN,Female,FEM,Aruba,ABW,4304,4514,5029,6935,3804,35.86166,104.195397,12.52111,-69.968338
China,CHN,Female,FEM,Dominican Republic,DOM,3134,4351,5232,6413,7949,35.86166,104.195397,18.735693,-70.162651
China,CHN,Female,FEM,Hungary,HUN,4670,4876,5383,5690,6371,35.86166,104.195397,47.162494,19.503304
China,CHN,Female,FEM,Malawi,MWI,3903,3854,5995,6761,7658,35.86166,104.195397,-13.254308,34.301525
China,CHN,Female,FEM,Pakistan,PAK,3299,4891,4908,4778,4660,35.86166,104.195397,30.375321,69.345116
China,CHN,Female,FEM,Panama,PAN,3417,4976,5604,3631,5151,35.86166,104.195397,8.537981,-80.782127
China,CHN,Female,FEM,Timor-Leste,TLS,3713,4514,5077,6282,7418,35.86166,104.195397,-8.874217,125.727539
China,CHN,Female,FEM,Tuvalu,TUV,4803,4998,5681,6394,6287,35.86166,104.195397,-7.109535,177.64933
China,CHN,Female,FEM,Zimbabwe,ZWE,3317,5226,5769,6353,6891,35.86166,104.195397,-19.015438,29.154857
Colombia,COL,Female,FEM,Austria,AUT,4304,3298,6126,4256,4563,4.570868,-74.297333,47.516231,14.550072
Colombia,COL,Female,FEM,Bolivia,BOL,3791,3690,5667,3967,6589,4.570868,-74.297333,-16.290154,-63.588653
Colombia,COL,Female,FEM,Denmark,DNK,3480,3808,6063,4372,7836,4.570868,-74.297333,56.26392,9.501785
Comoros,COM,Female,FEM,Belgium,BEL,3020,3366,3066,3523,4769,-11.875001,43.872219,50.503887,4.469936
Cook Islands,COK,Female,FEM,Papua New Guinea,PNG,3020,5281,5995,5969,4858,-21.236736,-159.777671,-6.314993,143.95555
Costa Rica,CRI,Female,FEM,Bolivia,BOL,3519,3854,4439,4108,6800,9.748917,-83.753428,-16.290154,-63.588653
Costa Rica,CRI,Female,FEM,Guatemala,GTM,3456,3914,4119,4325,4953,9.748917,-83.753428,15.783471,-90.230759
Costa Rica,CRI,Female,FEM,Jamaica,JAM,3519,4594,3715,3606,6287,9.748917,-83.753428,18.109581,-77.297508
Croatia,HRV,Female,FEM,Albania,ALB,3903,4289,5318,6394,7263,45.1,15.2,41.153332,20.168331
