eventid,iyear,imonth,iday,country_txt,region_txt,provstate,city,latitude,longitude,nkill
2.02E+11,2017,9,8,Nigeria,Sub-Saharan Africa,Borno,Mallan,11.899207,13.29198,2
2.02E+11,2017,9,6,Nigeria,Sub-Saharan Africa,Borno,Kesa Kura,11.87463,13.282379,3
2.02E+11,2017,4,2,Nigeria,Sub-Saharan Africa,Borno,Balbelu,11.922882,13.281358,1
2.02E+11,2017,1,23,Nigeria,Sub-Saharan Africa,Borno,Daggu,10.855833,13.280556,3
2.02E+11,2017,1,31,Nigeria,Sub-Saharan Africa,Adamawa,Kontcha,10.255278,13.276667,5
2.02E+11,2017,11,18,Nigeria,Sub-Saharan Africa,Borno,Alakaramtii,11.946859,13.276035,0
2.02E+11,2017,5,13,Nigeria,Sub-Saharan Africa,Borno,Amrawa,11.626355,13.272462,10
2.02E+11,2017,1,31,Nigeria,Sub-Saharan Africa,Borno,Dalori,11.761901,13.266306,2
2.02E+11,2017,4,12,Nigeria,Sub-Saharan Africa,Borno,Dalori,11.761901,13.266306,3
2.02E+11,2017,5,20,Nigeria,Sub-Saharan Africa,Borno,Dalori,11.761901,13.266306,4
2.02E+11,2017,6,18,Nigeria,Sub-Saharan Africa,Borno,Dalori,11.761901,13.266306,6
2.02E+11,2017,6,18,Nigeria,Sub-Saharan Africa,Borno,Dalori,11.761901,13.266306,2
2.02E+11,2017,7,23,Nigeria,Sub-Saharan Africa,Borno,Dalori,11.761901,13.266306,5
2.02E+11,2017,7,23,Nigeria,Sub-Saharan Africa,Borno,Dalori,11.761901,13.266306,1
2.02E+11,2017,7,24,Nigeria,Sub-Saharan Africa,Borno,Dalori,11.761901,13.266306,1
2.02E+11,2017,11,21,Nigeria,Sub-Saharan Africa,Adamawa,Mubi,10.263544,13.264107,59
2.02E+11,2017,9,27,Nigeria,Sub-Saharan Africa,Borno,Lingis,12.924273,13.258722,1
2.02E+11,2017,10,21,Libya,Middle East & North Africa,Jafara,Sidi Al-Saeh,32.561111,13.253611,0
