eventid,iyear,imonth,iday,country_txt,region_txt,provstate,city,latitude,longitude,nkill
2.02E+11,2017,6,15,Libya,Middle East & North Africa,Wahat,Ajdabiya,30.757133,20.237541,0
2.02E+11,2017,9,23,Libya,Middle East & North Africa,Wahat,Ajdabiya,30.757133,20.237541,0
2.02E+11,2017,9,23,Libya,Middle East & North Africa,Wahat,Ajdabiya,30.757133,20.237541,0
2.02E+11,2017,12,9,Libya,Middle East & North Africa,Wahat,Ajdabiya,30.757133,20.237541,1
2.02E+11,2017,6,16,Angola,Sub-Saharan Africa,Lunda Norte,Unknown,-7.188454,20.204416,1
2.02E+11,2017,9,15,Libya,Middle East & North Africa,Benghazi,Kuwayfiyah,32.203339,20.170181,0
2.02E+11,2017,1,5,Libya,Middle East & North Africa,Benghazi,Benghazi,32.069286,20.151144,6
2.02E+11,2017,1,15,Libya,Middle East & North Africa,Benghazi,Benghazi,32.069286,20.151144,0
2.02E+11,2017,1,20,Libya,Middle East & North Africa,Benghazi,Benghazi,32.069286,20.151144,1
2.02E+11,2017,1,20,Libya,Middle East & North Africa,Benghazi,Benghazi,32.069286,20.151144,1
2.02E+11,2017,1,26,Libya,Middle East & North Africa,Benghazi,Benghazi,32.069286,20.151144,0
2.02E+11,2017,1,25,Libya,Middle East & North Africa,Benghazi,Benghazi,32.069286,20.151144,0
2.02E+11,2017,2,5,Libya,Middle East & North Africa,Benghazi,Benghazi,32.069286,20.151144,0
2.02E+11,2017,2,6,Libya,Middle East & North Africa,Benghazi,Benghazi,32.069286,20.151144,2
2.02E+11,2017,2,17,Libya,Middle East & North Africa,Benghazi,Benghazi,32.069286,20.151144,-99
2.02E+11,2017,2,22,Libya,Middle East & North Africa,Benghazi,Benghazi,32.069286,20.151144,0
