country,lat,lng,beds,population,year,source
MR,20,-12,0.4,3111906,2006,world-bank
LT,56,24,7,3028115,2011,world-bank
AL,41,20,2.6,2900401,2012,world-bank
AM,40,45,3.9,2884229,2012,world-bank
MD,47,29,6.2,2859458,2012,world-bank
JM,18.25,-77.5,1.7,2842132,2012,world-bank
MN,46,105,6.8,2824699,2012,world-bank
PS,32,35.25,1.200000048,2588000,1996,world-bank
QA,25.5,51.25,1.2,2196074,2012,world-bank
NA,-22,17,2.7,2081044,2009,world-bank
MK,41.83,22,4.5,2072487,2011,world-bank
SI,46,15,4.552046,2059953,2013,world-bank
LV,57,25,5.9,2059709,2011,world-bank
LS,-29.5,28.5,1.3,1989939,2006,world-bank
BW,-22,24,1.8,1987105,2010,world-bank
GM,13.47,-16.57,1.1,1848147,2011,world-bank
GA,-1,11.75,6.3,1624140,2010,world-bank
GW,12,-15,1,1483921,2009,world-bank
TT,11,-61,2.7,1344817,2012,world-bank
EE,59,26,5.3,1327439,2011,world-bank
BH,26,50.55,2.1,1299943,2012,world-bank
MU,-20.28,57.55,3.4,1252404,2011,world-bank
CY,35,33,3.5,1124833,2011,world-bank
TL,8.8742,125.7275,5.9,1093523,2010,world-bank
SZ,-26.5,31.5,2.1,1072000,2011,world-bank
GQ,2,10,2.1,943639,2010,world-bank
DJ,11.5,43,1.4,868136,2012,world-bank
FJ,-18,175,2.1,853637,2009,world-bank
GY,5,-59,2,747718,2009,world-bank
BT,27.5,90.5,1.8,701583,2012,world-bank
KM,-12.17,44.25,2.2,626425,2006,world-bank
ME,42,19,4,620079,2011,world-bank
SB,-8,159,1.3,556064,2012,world-bank
SR,4,-56,3.1,529131,2010,world-bank
LU,49.75,6.17,5.4,506953,2010,world-bank
CV,16,-24,2.1,492654,2010,world-bank
MT,35.83,14.58,4.8,420028,2012,world-bank
BN,4.5,114.67,2.8,398989,2012,world-bank
BS,24.25,-76,2.9,359577,2011,world-bank
MV,3.25,73,4.3,353398,2009,world-bank
BZ,17.25,-88.75,1.1,338000,2012,world-bank
IS,65,-18,3.2,320716,2012,world-bank
BB,13.17,-59.53,6.2,283700,2012,world-bank
MO,22.17,113.55,5.295300007,246194,1970,world-bank
VU,-16,167,1.7,224704,2008,world-bank
ST,1,7,2.9,184524,2011,world-bank
WS,-13.58,-172.33,1,179727,2005,world-bank
LC,13.88,-61.13,1.6,175544,2011,world-bank
VC,13.25,-61.2,5.2,108435,2012,world-bank
VI,18.33,-64.83,18.68000031,108095,1996,world-bank
GD,12.12,-61.67,3.5,107446,2012,world-bank
KI,1.42,173,1.3,104728,2011,world-bank
TO,-20,-175,2.6,103986,2010,world-bank
FM,6.92,158.25,3.2,102975,2009,world-bank
AG,17.05,-61.8,2.1,89253,2011,world-bank
SC,-4.58,55.67,3.6,87441,2011,world-bank
AD,42.5,1.5,2.5,84463,2009,world-bank
DM,15.42,-61.33,3.8,70965,2012,world-bank
BM,32.33,-64.75,6.300000191,60129,1996,world-bank
MH,9,168,2.7,56366,2010,world-bank
KN,17.33,-62.75,2.3,49887,2012,world-bank
GL,72,-40,14.35340023,46400,1970,world-bank
MC,43.73,7.4,13.8,36460,2012,world-bank
SM,43.77,12.42,3.8,32105,2012,world-bank
KY,19.5,-80.5,3,25312,1990,world-bank
PW,7.5,134.5,4.8,17955,2010,world-bank
NR,-0.53,166.92,5,10005,2010,world-bank
TV,-8,178,5.6,9484,2001,world-bank
