iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,month,country,alpha_2,numeric,latitude,longitude,year
KHM,Asia,Cambodia,2020-02-29,1,0,0,NA,NA,0,0.06,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16718971,90.672,25.6,4.412,2.385,3645.07,NA,270.892,4,2,33.7,66.229,0.8,69.82,0.594,02,Cambodia, KH,116,13,105,2020
CAN,North America,Canada,2020-02-29,20,6,1.571,NA,NA,0,0.53,0.159,0.042,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,510,0.014,NA,47,0.001,0.033,29.9,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,NA,2.5,82.43,0.929,02,Canada, CA,124,60,-95,2020
CHL,South America,Chile,2020-02-29,2,0,0.286,NA,NA,0,0.105,0,0.015,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.851,02,Chile, CL,152,-30,-71,2020
CHN,Asia,China,2020-02-29,79356,428,336.429,2837,47,56.286,55.134,0.297,0.234,1.971,0.033,0.039,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.02,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,NA,4.34,76.91,0.761,02,China, CN,156,35,105,2020
HRV,Europe,Croatia,2020-02-29,6,1,NA,NA,NA,NA,1.462,0.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,NA,5.54,78.49,0.851,02,Croatia, HR,191,45.1667,15.5,2020
CYP,Europe,Cyprus,2020-02-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.986,1.126,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,875899,127.657,37.3,13.416,8.563,32415.132,NA,141.171,9.24,19.6,52.7,NA,3.4,80.98,0.887,02,Cyprus, CY,196,35,33,2020
DNK,Europe,Denmark,2020-02-29,3,2,NA,NA,NA,NA,0.518,0.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,294,0.051,0.013,41,0.007,NA,NA,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,80.9,0.94,02,Denmark, DK,208,56,10,2020
EGY,Africa,Egypt,2020-02-29,1,0,0,NA,NA,0,0.01,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,02,Egypt, EG,818,27,30,2020
EST,Europe,Estonia,2020-02-29,1,0,NA,NA,NA,NA,0.754,0,NA,NA,NA,NA,NA,0,0,1,0.754,NA,NA,NA,NA,8,44,0.033,0.006,NA,NA,NA,NA,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,NA,4.69,78.74,0.892,02,Estonia, EE,233,59,26,2020
FJI,Oceania,Fiji,2020-02-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,896444,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,NA,2.3,67.44,0.743,02,Fiji, FJ,242,-18,175,2020
FIN,Europe,Finland,2020-02-29,3,1,0.286,NA,NA,0,0.541,0.18,0.052,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,382,0.069,0.003,NA,NA,NA,NA,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,5540718,18.136,42.8,21.228,13.264,40585.721,NA,153.507,5.76,18.3,22.6,NA,3.28,81.91,0.938,02,Finland, FI,246,64,26,2020
FRA,Europe,France,2020-02-29,100,43,12.571,2,0,0.143,1.467,0.631,0.184,0.029,0,0.002,NA,9,0.132,86,1.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.72,68147687,122.578,42,19.718,13.079,38605.671,NA,86.06,4.77,30.1,35.6,NA,5.98,82.66,0.901,02,France, FR,250,46,2,2020
GEO,Asia,Georgia,2020-02-29,1,0,NA,NA,NA,NA,0.251,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,NA,2.6,73.77,0.812,02,Georgia, GE,268,42,43.5,2020
DEU,Europe,Germany,2020-02-29,79,31,9,NA,NA,0,0.943,0.37,0.107,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,83783945,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,02,Germany, DE,276,51,9,2020
GRC,Europe,Greece,2020-02-29,4,0,NA,NA,NA,NA,0.384,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,NA,4.21,82.24,0.888,02,Greece, GR,300,39,22,2020
GTM,North America,Guatemala,2020-02-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,people tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,NA,NA,76.665,0.6,74.3,0.663,02,Guatemala, GT,320,15.5,-90.25,2020
HKG,Asia,Hong Kong,2020-02-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30593,4.081,NA,NA,NA,NA,NA,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.78,7496988,7039.714,44.8,16.303,10.158,56054.92,NA,NA,8.33,NA,NA,NA,NA,84.86,0.949,02,Hong Kong, HK,344,22.25,114.1667,2020
ISL,Europe,Iceland,2020-02-29,1,0,NA,NA,NA,NA,2.93,0,NA,NA,NA,NA,NA,NA,NA,1,2.93,NA,NA,NA,NA,32,68,0.199,0.094,NA,NA,NA,NA,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,02,Iceland, IS,352,65,-18,2020
IND,Asia,India,2020-02-29,3,0,0,NA,NA,0,0.002,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,02,India, IN,356,20,77,2020
IRN,Asia,Iran,2020-02-29,593,205,80.714,43,9,5.429,7.06,2.441,0.961,0.512,0.107,0.065,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.37,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,NA,1.5,76.68,0.783,02,Iran, Islamic Republic of, IR,364,32,53,2020
IRQ,Asia,Iraq,2020-02-29,13,6,1.857,NA,NA,0,0.323,0.149,0.046,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.78,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,NA,NA,94.576,1.4,70.6,0.674,02,Iraq, IQ,368,33,44,2020
IRL,Europe,Ireland,2020-02-29,1,1,NA,NA,NA,NA,0.203,0.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,NA,2.96,82.3,0.955,02,Ireland, IE,372,53,-8,2020
ISR,Asia,Israel,2020-02-29,6,0,0.714,NA,NA,0,0.693,0,0.083,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,864,0.1,0.018,113,0.013,0.006,158.3,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,NA,2.99,82.97,0.919,02,Israel, IL,376,31.5,34.75,2020
ITA,Europe,Italy,2020-02-29,1128,240,152.286,29,8,3.857,18.656,3.969,2.519,0.48,0.132,0.064,3.12,105,1.737,506,8.369,NA,NA,NA,NA,2966,18661,0.309,0.049,NA,NA,NA,NA,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.91,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.892,02,Italy, IT,380,42.8333,12.8333,2020
JPN,Asia,Japan,2020-02-29,245,9,15.429,6,1,0.571,1.937,0.071,0.122,0.047,0.008,0.005,1.09,NA,NA,NA,NA,NA,NA,NA,NA,178,1560,0.012,0.001,116,0.001,0.133,7.5,people tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.26,126476458,347.778,48.2,27.049,18.493,39002.223,NA,79.37,5.72,11.2,33.7,NA,13.05,84.63,0.919,02,Japan, JP,392,36,138,2020
KWT,Asia,Kuwait,2020-02-29,45,0,6.429,NA,NA,0,10.537,0,1.505,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,4270563,232.128,33.7,2.345,1.114,65530.537,NA,132.235,15.84,2.7,37,NA,2,75.49,0.806,02,Kuwait, KW,414,29.3375,47.6581,2020
LVA,Europe,Latvia,2020-02-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,116,0.061,0.061,NA,NA,NA,NA,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,NA,5.57,75.29,0.866,02,Latvia, LV,428,57,25,2020
LBN,Asia,Lebanon,2020-02-29,4,2,0.429,NA,NA,0,0.586,0.293,0.063,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,6825442,594.561,31.1,8.514,5.43,13367.565,NA,266.591,12.71,26.9,40.7,NA,2.9,78.93,0.744,02,Lebanon, LB,422,33.8333,35.8333,2020
LTU,Europe,Lithuania,2020-02-29,1,1,NA,NA,NA,NA,0.367,0.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,NA,6.56,75.93,0.882,02,Lithuania, LT,440,56,24,2020
LUX,Europe,Luxembourg,2020-02-29,1,1,NA,NA,NA,NA,1.598,1.598,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,17,0.027,0.002,NA,NA,NA,NA,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,NA,4.51,82.25,0.916,02,Luxembourg, LU,442,49.75,6.1667,2020
MYS,Asia,Malaysia,2020-02-29,25,2,0.429,NA,NA,0,0.772,0.062,0.013,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,0.003,0.005,205.1,people tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,NA,1.9,76.16,0.81,02,Malaysia, MY,458,2.5,112.5,2020
MLT,Europe,Malta,2020-02-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,156,0.353,0.016,22,0.05,NA,NA,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,NA,4.485,82.53,0.895,02,Malta, MT,470,35.8333,14.5833,2020
MEX,North America,Mexico,2020-02-29,4,3,NA,NA,NA,NA,0.031,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,10738,0.083,0.001,190,0.001,0.036,27.8,people tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,02,Mexico, MX,484,23,-102,2020
MCO,Europe,Monaco,2020-02-29,1,1,NA,NA,NA,NA,25.482,25.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.52,39244,19347.5,NA,NA,NA,NA,NA,NA,5.46,NA,NA,NA,13.8,86.75,NA,02,Monaco, MC,492,43.7333,7.4,2020
MAR,Africa,Morocco,2020-02-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0.001,NA,2,0,NA,NA,people tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,NA,1.1,76.68,0.686,02,Morocco, MA,504,32,-5,2020
NPL,Asia,Nepal,2020-02-29,1,0,0,NA,NA,0,0.034,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,NA,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,02,Nepal, NP,524,28,84,2020
NLD,Europe,Netherlands,2020-02-29,6,5,NA,NA,NA,NA,0.35,0.292,NA,NA,NA,NA,NA,9,0.525,10,0.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,17134873,508.544,43.2,18.779,11.881,48472.545,NA,109.361,5.29,24.4,27.3,NA,3.32,82.28,0.944,02,Netherlands, NL,528,52.5,5.75,2020
NZL,Oceania,New Zealand,2020-02-29,1,0,NA,NA,NA,NA,0.207,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,4822233,18.206,37.9,15.322,9.72,36085.843,NA,128.797,8.08,14.8,17.2,NA,2.61,82.29,0.931,02,New Zealand, NZ,554,-41,174,2020
NGA,Africa,Nigeria,2020-02-29,1,0,NA,NA,NA,NA,0.005,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,206139587,209.588,18.1,2.751,1.447,5338.454,NA,181.013,2.42,0.6,10.8,41.949,NA,54.69,0.539,02,Nigeria, NG,566,10,8,2020
MKD,Europe,North Macedonia,2020-02-29,1,0,NA,NA,NA,NA,0.48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2083380,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,NA,NA,NA,4.28,75.8,0.774,02,Macedonia, the former Yugoslav Republic of, MK,807,41.8333,22,2020
NOR,Europe,Norway,2020-02-29,15,9,NA,NA,NA,NA,2.767,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,NA,3.6,82.4,0.957,02,Norway, NO,578,62,10,2020
OMN,Asia,Oman,2020-02-29,6,2,0.857,NA,NA,0,1.175,0.392,0.168,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,5106622,14.98,30.7,2.355,1.53,37960.709,NA,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,02,Oman, OM,512,21,57,2020
PAK,Asia,Pakistan,2020-02-29,4,0,NA,NA,NA,NA,0.018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,02,Pakistan, PK,586,30,70,2020
PER,South America,Peru,2020-02-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,105,0.003,0,8,0,0,NA,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74,0.777,02,Peru, PE,604,-10,-76,2020
PHL,Asia,Philippines,2020-02-29,3,0,0,1,0,0,0.027,0,0,0.009,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,109581085,351.873,25.2,4.803,2.661,7599.188,NA,370.437,7.07,7.8,40.8,78.463,1,71.23,0.718,02,Philippines, PH,608,13,122,2020
PRT,Europe,Portugal,2020-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.807,1.943,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,10196707,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,NA,3.39,82.05,0.864,02,Portugal, PT,620,39.5,-8,2020
QAT,Asia,Qatar,2020-02-29,1,1,NA,NA,NA,NA,0.347,0.347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,2881060,227.322,31.9,1.307,0.617,116935.6,NA,176.69,16.52,0.8,26.9,NA,1.2,80.23,0.848,02,Qatar, QA,634,25.5,51.25,2020
ROU,Europe,Romania,2020-02-29,3,0,NA,NA,NA,NA,0.156,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,19237682,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,NA,6.892,76.05,0.828,02,Romania, RO,642,46,25,2020
RUS,Europe,Russia,2020-02-29,2,0,0,NA,NA,0,0.014,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,NA,8.05,72.58,0.824,02,Russian Federation, RU,643,60,100,2020
