iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,month,country,alpha_2,numeric,latitude,longitude,year
IND,Asia,India,2020-01-31,1,0,NA,NA,NA,NA,0.001,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.19,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,01,India, IN,356,20,77,2020
ITA,Europe,Italy,2020-01-31,2,2,NA,NA,NA,NA,0.033,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.892,01,Italy, IT,380,42.8333,12.8333,2020
JPN,Asia,Japan,2020-01-31,15,4,1.857,NA,NA,0,0.119,0.032,0.015,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,126476458,347.778,48.2,27.049,18.493,39002.223,NA,79.37,5.72,11.2,33.7,NA,13.05,84.63,0.919,01,Japan, JP,392,36,138,2020
MYS,Asia,Malaysia,2020-01-31,8,0,1.143,NA,NA,0,0.247,0,0.035,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,NA,1.9,76.16,0.81,01,Malaysia, MY,458,2.5,112.5,2020
MEX,North America,Mexico,2020-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,5495,0.043,0.001,200,0.002,0.015,66.7,people tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,01,Mexico, MX,484,23,-102,2020
NPL,Asia,Nepal,2020-01-31,1,0,0.143,NA,NA,0,0.034,0,0.005,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,01,Nepal, NP,524,28,84,2020
PER,South America,Peru,2020-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,19,0.001,0,1,0,0,NA,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74,0.777,01,Peru, PE,604,-10,-76,2020
PHL,Asia,Philippines,2020-01-31,1,0,NA,NA,NA,NA,0.009,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,109581085,351.873,25.2,4.803,2.661,7599.188,NA,370.437,7.07,7.8,40.8,78.463,1,71.23,0.718,01,Philippines, PH,608,13,122,2020
RUS,Europe,Russia,2020-01-31,2,2,NA,NA,NA,NA,0.014,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,NA,8.05,72.58,0.824,01,Russian Federation, RU,643,60,100,2020
RUS,Europe,Russia,2020-01-31,2,2,NA,NA,NA,NA,0.014,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,NA,8.05,72.58,0.824,01,Russia, RU,643,60,100,2020
SGP,Asia,Singapore,2020-01-31,13,3,1.429,NA,NA,0,2.222,0.513,0.244,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,5850343,7915.731,42.4,12.922,7.049,85535.383,NA,92.243,10.99,5.2,28.3,NA,2.4,83.62,0.938,01,Singapore, SG,702,1.3667,103.8,2020
KOR,Asia,South Korea,2020-01-31,11,7,1.286,NA,NA,0,0.215,0.137,0.025,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,0.001,0.032,31.1,people tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.916,01,Korea, Republic of, KR,410,37,127.5,2020
KOR,Asia,South Korea,2020-01-31,11,7,1.286,NA,NA,0,0.215,0.137,0.025,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,0.001,0.032,31.1,people tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.916,01,South Korea, KR,410,37,127.5,2020
LKA,Asia,Sri Lanka,2020-01-31,1,0,NA,NA,NA,NA,0.047,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,NA,3.6,76.98,0.782,01,Sri Lanka, LK,144,7,81,2020
TWN,Asia,Taiwan,2020-01-31,10,1,1,NA,NA,0,0.42,0.042,0.042,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,916,0.038,0.004,104,0.004,0.01,104,people tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,23816775,NA,42.2,NA,8.353,NA,NA,103.957,NA,NA,NA,NA,NA,80.46,NA,01,Taiwan, Province of China, TW,158,23.5,121,2020
TWN,Asia,Taiwan,2020-01-31,10,1,1,NA,NA,0,0.42,0.042,0.042,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,916,0.038,0.004,104,0.004,0.01,104,people tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,23816775,NA,42.2,NA,8.353,NA,NA,103.957,NA,NA,NA,NA,NA,80.46,NA,01,Taiwan, TW,158,23.5,121,2020
THA,Asia,Thailand,2020-01-31,19,5,2,NA,NA,0,0.272,0.072,0.029,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,846,0.012,0.002,87,0.001,0.074,13.5,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,01,Thailand, TH,764,15,100,2020
ARE,Asia,United Arab Emirates,2020-01-31,4,0,NA,NA,NA,NA,0.404,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,9890400,112.442,34,1.144,0.526,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,77.97,0.89,01,United Arab Emirates, AE,784,24,54,2020
GBR,Europe,United Kingdom,2020-01-31,2,2,NA,NA,NA,NA,0.029,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.932,01,United Kingdom, GB,826,54,-2,2020
USA,North America,United States,2020-01-31,8,2,0.857,NA,NA,0,0.024,0.006,0.003,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,01,United States, US,840,38,-97,2020
VNM,Asia,Vietnam,2020-01-31,2,0,0,NA,NA,0,0.021,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.93,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704,01,Viet Nam, VN,704,16,106,2020
VNM,Asia,Vietnam,2020-01-31,2,0,0,NA,NA,0,0.021,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.93,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704,01,Vietnam, VN,704,16,106,2020
