origin.name,origin.code,gender.name,gender.code,dest.name,dest.code,2000,origin.lat,origin.lon,dest.lat,dest.lon
Japan,JPN,Total,TOT,Botswana,BWA,7851,36.204824,138.252924,-22.328474,24.684866
Japan,JPN,Total,TOT,Bulgaria,BGR,7695,36.204824,138.252924,42.733883,25.48583
Japan,JPN,Total,TOT,Guatemala,GTM,7738,36.204824,138.252924,15.783471,-90.230759
Japan,JPN,Total,TOT,Hungary,HUN,7928,36.204824,138.252924,47.162494,19.503304
Japan,JPN,Total,TOT,Latvia,LVA,7658,36.204824,138.252924,56.879635,24.603189
Japan,JPN,Total,TOT,Northern Mariana Islands,MNP,7739,36.204824,138.252924,17.33083,145.38469
Japan,JPN,Total,TOT,Norway,NOR,7836,36.204824,138.252924,60.472024,8.468946
Japan,JPN,Total,TOT,Qatar,QAT,7851,36.204824,138.252924,25.354826,51.183884
Japan,JPN,Total,TOT,Sri Lanka,LKA,7851,36.204824,138.252924,7.873054,80.771797
Jordan,JOR,Total,TOT,Denmark,DNK,7887,30.585164,36.238414,56.26392,9.501785
Jordan,JOR,Total,TOT,Japan,JPN,7612,30.585164,36.238414,36.204824,138.252924
Jordan,JOR,Total,TOT,Latvia,LVA,7658,30.585164,36.238414,56.879635,24.603189
Jordan,JOR,Total,TOT,Lithuania,LTU,7658,30.585164,36.238414,55.169438,23.881275
Jordan,JOR,Total,TOT,Oman,OMN,7774,30.585164,36.238414,21.512583,55.923255
Jordan,JOR,Total,TOT,Qatar,QAT,7784,30.585164,36.238414,25.354826,51.183884
Jordan,JOR,Total,TOT,United Arab Emirates,ARE,7864,30.585164,36.238414,23.424076,53.847818
Kazakhstan,KAZ,Total,TOT,Azerbaijan,AZE,7944,48.019573,66.923684,40.143105,47.576927
Kazakhstan,KAZ,Total,TOT,Georgia,GEO,7741,48.019573,66.923684,42.315407,43.356892
Kenya,KEN,Total,TOT,Comoros,COM,7738,-0.023559,37.906193,-11.875001,43.872219
Kenya,KEN,Total,TOT,Denmark,DNK,7967,-0.023559,37.906193,56.26392,9.501785
Kenya,KEN,Total,TOT,Dominican Republic,DOM,7738,-0.023559,37.906193,18.735693,-70.162651
Kenya,KEN,Total,TOT,Monaco,MCO,7659,-0.023559,37.906193,43.750298,7.412841
Kiribati,KIR,Total,TOT,American Samoa,ASM,7658,-3.370417,-168.734039,-14.270972,-170.132217
Kuwait,KWT,Total,TOT,Canada,CAN,7818,29.31166,47.481766,56.130366,-106.346771
Kuwait,KWT,Total,TOT,Chile,CHL,7658,29.31166,47.481766,-35.675147,-71.542969
Kuwait,KWT,Total,TOT,Hungary,HUN,7658,29.31166,47.481766,47.162494,19.503304
Kuwait,KWT,Total,TOT,Singapore,SGP,7948,29.31166,47.481766,1.352083,103.819836
Kuwait,KWT,Total,TOT,Togo,TGO,7658,29.31166,47.481766,8.619543,0.824782
Latvia,LVA,Total,TOT,Denmark,DNK,7986,56.879635,24.603189,56.26392,9.501785
Lebanon,LBN,Total,TOT,Bangladesh,BGD,7659,33.854721,35.862285,23.684994,90.356331
