origin.name,origin.code,gender.name,gender.code,dest.name,dest.code,2000,origin.lat,origin.lon,dest.lat,dest.lon
Singapore,SGP,Total,TOT,Ecuador,ECU,7658,1.352083,103.819836,-1.831239,-78.183406
Singapore,SGP,Total,TOT,Philippines,PHL,7613,1.352083,103.819836,12.879721,121.774017
Singapore,SGP,Total,TOT,Qatar,QAT,7658,1.352083,103.819836,25.354826,51.183884
Singapore,SGP,Total,TOT,Sri Lanka,LKA,7814,1.352083,103.819836,7.873054,80.771797
Slovenia,SVN,Total,TOT,Austria,AUT,7927,46.151241,14.995463,47.516231,14.550072
Slovenia,SVN,Total,TOT,Canada,CAN,7706,46.151241,14.995463,56.130366,-106.346771
Somalia,SOM,Total,TOT,Benin,BEN,7658,5.152149,46.199616,9.30769,2.315834
Somalia,SOM,Total,TOT,Bulgaria,BGR,7658,5.152149,46.199616,42.733883,25.48583
Somalia,SOM,Total,TOT,Indonesia,IDN,7814,5.152149,46.199616,-0.789275,113.921327
Somalia,SOM,Total,TOT,Rwanda,RWA,7851,5.152149,46.199616,-1.940278,29.873888
South Africa,ZAF,Total,TOT,Cook Islands,COK,7658,-30.559482,22.937506,-21.236736,-159.777671
South Africa,ZAF,Total,TOT,Denmark,DNK,7979,-30.559482,22.937506,56.26392,9.501785
